SAMPLEID,undifferentiated,granitic,intermediate,carbonate,sedimentary,shale,basaltic,sandstone,carbonates,ultramafic,WGS84_WORLD_LL_Calc_X,WGS84_WORLD_LL_Calc_Y,Ag_ppm,Al_pct,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_pct,Ga_ppm,Ge_ppm,Hf_ppm,In_ppm,K_pct,La_ppm,Li_ppm,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,st_area(shape),st_perimeter(shape),COUNT,Phyllosilicates_MEAN,Phyllosilicates_STD,Phyllosilicates_MAJORITY,Phyllosilicates_MAJORITY_PERCENT,Phyllosilicates_MINORITY,Phyllosilicates_MINORITY_PERCENT,Gossan_MEAN,Gossan_STD,Gossan_MAJORITY,Gossan_MAJORITY_PERCENT,Gossan_MINORITY,Gossan_MINORITY_PERCENT,Mag_MEAN,Mag_STD,Mag_MAJORITY,Mag_MAJORITY_PERCENT,Mag_MINORITY,Mag_MINORITY_PERCENT,Uranium_MEAN,Uranium_STD,Uranium_MAJORITY,Uranium_MAJORITY_PERCENT,Uranium_MINORITY,Uranium_MINORITY_PERCENT
40309500.0,11.4801043,44.259947992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.4183741,31.88046377,0.251,5.53,9.8,439.0,1.54,0.21,13.85,0.589,50.1,10.05,31.6,7.21,27.0,2.73,14.2,0.1,2.26,0.061,1.57,22.8,33.2,0.89,639.0,1.08,0.489,9.22,16.55,890.0,32.8,83.4,0.02,1.37,9.55,0.6,1.98,309.0,0.62,0.07,7.3,0.322,0.553,1.99,71.5,1.015,19.75,99.2,81.0,358369.2735,5179.689995,3368.0,164.215855,40.29615,131.0,2.8897,40.0,0.0584,52.830874,45.545559,1.0,2.2325,115.0,0.029,-88.073454,6.233634,-89.0,73.8514,-97.0,1.5031,26.929742,5.999589,21.0,50.5855,33.0,49.4145
40309951.0,40.074216588,17.91186336,0.0,0.0,0.0,0.0,1.93970351,0.0,0.0,0.0,-107.4261501,32.54850533,0.172,7.71,5.01,757.0,2.32,0.415,1.45,0.504,68.1,11.6,46.7,6.14,61.5,3.4,20.3,0.13,3.61,0.073,2.24,35.5,38.0,0.79,554.0,1.19,1.16,14.65,25.3,850.0,32.3,106.0,0.04,0.82,11.2,0.3,3.98,284.0,0.94,0.07,11.1,0.401,0.553,2.02,67.1,1.59,24.7,103.5,117.5,3021326.136,10291.75132,29139.0,71.827963,35.422833,51.0,2.3679,157.0,0.0103,64.57077,34.607953,50.0,1.6884,227.0,0.0034,220.12538,13.611269,231.0,37.9183,178.0,0.6288,2.328454,0.740963,2.0,83.5773,4.0,16.4227
40309952.0,0.280067397,0.0,0.0,0.0,0.0,0.0,99.71993261,0.0,0.0,0.0,-107.3929083,32.33158782,0.097,7.29,4.03,765.0,1.84,0.296,2.15,0.329,61.0,13.0,59.6,3.66,40.6,3.6,19.6,0.12,3.32,0.07,2.08,30.3,26.8,0.94,596.0,1.05,1.66,14.9,26.2,850.0,23.9,83.7,0.03,0.67,10.0,0.5,3.13,457.0,0.92,0.06,8.48,0.451,0.426,1.63,81.0,1.235,18.7,97.5,111.5,1519.661832,161.4278948,24.0,72.208333,25.547308,63.0,29.1667,15.0,8.3333,62.636364,10.477445,49.0,9.0909,44.0,4.5455,31.0,0.0,31.0,100.0,31.0,100.0,17.0,0.0,17.0,100.0,17.0,100.0
40309501.0,46.30799297,45.51012217,0.0,0.0,0.0,0.0,8.181884392,0.0,0.0,0.0,-108.9762303,31.43848634,0.031,7.28,2.75,713.0,2.91,0.345,1.15,0.134,87.9,7.73,7.2,5.91,10.35,2.26,18.65,0.14,4.07,0.031,3.62,42.6,23.3,0.39,645.0,1.39,1.735,21.4,5.88,320.0,39.2,221.0,0.01,0.32,5.47,0.2,2.86,233.0,1.65,0.06,23.1,0.278,0.823,4.0,49.2,1.45,31.4,60.5,116.0,10872807.3,24530.21725,52238.0,176.658142,48.333387,255.0,3.9416,33.0,0.0019,140.290456,65.390978,255.0,3.0013,6.0,0.0174,2.328934,92.568714,59.0,10.4729,31.0,0.0158,23.0,0.0,23.0,100.0,23.0,100.0
40309953.0,22.95792387,77.04207622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.5830568,32.20762448,0.107,6.64,44.7,9580.0,5.6,0.41,2.61,0.397,76.8,13.15,45.2,9.73,44.2,3.37,21.9,0.13,3.46,0.067,2.55,33.5,45.5,0.65,15250.0,8.63,0.927,21.1,22.6,750.0,331.0,149.5,0.16,8.62,8.64,0.3,3.52,356.0,1.34,0.09,12.6,0.393,3.26,3.34,81.1,12.35,30.6,146.0,109.0,319475.3424,4068.381234,2875.0,86.660522,44.252598,65.0,3.9513,97.0,0.0329,70.24923,26.540936,58.0,2.1774,1.0,0.0325,-147.6832,6.841155,-142.0,59.104,-153.0,1.408,7.0,0.0,7.0,100.0,7.0,100.0
40303753.0,0.0,49.999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.4905957,31.8307327,0.114,7.76,8.42,844.0,1.5,0.532,4.61,0.336,90.7,21.9,32.5,1.72,59.5,8.02,21.6,0.19,0.842,0.067,1.67,45.6,17.0,1.31,1065.0,1.93,2.46,19.4,15.75,2570.0,16.05,50.3,0.04,0.91,12.7,0.3,2.02,783.0,1.2,0.13,7.16,0.703,0.278,1.81,199.5,1.35,27.7,75.6,24.7,2492130.675,8938.778218,23483.0,206.275561,36.177137,255.0,12.6626,35.0,0.0084,97.615996,33.677521,89.0,1.528,1.0,0.0042,133.237402,55.65672,152.0,36.9945,71.0,0.5382,16.643229,0.765674,17.0,82.1614,15.0,17.8386
40303752.0,29.83187284,70.16812715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.491682,31.83665202,0.292,7.84,7.81,898.0,1.45,0.507,4.94,0.559,72.3,16.9,20.2,2.0,78.9,4.93,21.9,0.15,0.849,0.072,2.01,34.6,22.1,1.5,1145.0,2.95,2.37,14.1,15.4,2950.0,15.85,46.9,0.05,0.99,12.05,0.3,2.25,787.0,0.9,0.13,6.72,0.539,0.33,1.77,135.5,1.46,24.0,110.5,21.8,1564378.27,8732.655606,14634.0,215.092183,40.603626,255.0,28.662,81.0,0.0267,104.902005,36.228611,101.0,1.3273,5.0,0.0067,60.54093,42.20845,71.0,46.1733,70.0,0.0065,16.95172,0.306966,17.0,97.586,15.0,2.414
40303750.0,66.31547612,28.62438845,0.0,0.0,0.0,0.0,5.060134972,0.0,0.0,0.0,-108.4868729,31.84492592,0.194,6.65,10.05,686.0,1.54,1.705,8.04,0.348,76.1,20.6,34.1,2.96,108.5,4.96,19.1,0.16,1.645,0.073,1.96,36.7,24.1,1.53,1090.0,4.07,1.655,16.4,23.3,2130.0,25.6,72.5,0.03,1.09,11.5,0.6,22.1,520.0,1.03,0.25,7.18,0.543,0.331,2.39,133.0,2.1,24.3,90.1,50.2,58727.85705,1201.451832,555.0,159.72973,33.059037,156.0,3.7702,175.0,0.3591,110.800731,33.167275,108.0,2.1898,42.0,0.1825,91.096386,12.602939,99.0,71.7728,71.0,28.2272,17.0,0.0,17.0,100.0,17.0,100.0
40303751.0,4.0887303555,91.82253931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.4933835,31.83896718,0.8,6.17,10.6,762.0,1.75,0.6,8.05,1.19,62.3,13.15,26.1,5.28,124.0,4.41,18.3,0.13,1.7,0.071,1.62,32.9,38.7,1.49,1500.0,2.39,0.985,13.15,14.35,1540.0,20.6,70.8,0.09,1.17,9.56,0.4,1.99,467.0,0.83,0.28,7.79,0.384,0.41,1.99,95.9,7.48,19.3,305.0,60.1,437038.5724,4295.548585,4183.0,201.990677,34.906681,255.0,10.074,247.0,0.0239,90.220994,29.725709,78.0,1.6791,21.0,0.024,95.972093,8.695584,99.0,89.1861,71.0,10.814,16.005706,0.999984,17.0,50.2853,15.0,49.7147
40303755.0,24.991676115,0.0,0.0,0.0,0.0,0.0,50.0166478,0.0,0.0,0.0,-108.3101229,31.84409549,1.375,7.43,14.5,722.0,2.59,42.8,2.81,1.67,86.3,13.85,23.6,4.75,260.0,3.45,19.15,0.14,1.995,0.258,2.76,42.4,27.1,0.68,753.0,5.48,1.785,22.8,15.55,810.0,402.0,149.0,0.02,1.08,7.61,0.4,5.27,239.0,1.58,0.27,12.25,0.38,1.14,2.77,78.1,54.7,27.5,627.0,59.4,30514.7814,1057.227865,411.0,139.248175,36.152243,154.0,6.8127,192.0,0.2433,49.87931,29.727957,1.0,7.6355,8.0,0.2463,207.0,0.0,207.0,100.0,207.0,100.0,2.0,0.0,2.0,100.0,2.0,100.0
